identifiant	tei:title	marc:titre_propre	site:nom	site:prenom	Nom:majuscules	Nom :capitalisés 	Idref:key	Idref:url	site:promotion	benc:pp	site :tri	site :sexe	site :notBefore	site :notAfter	site :professeur	site :lodel	Commentaire	benc:volume	benc:autorite?	site:id?	Date d'édition	Promotion	TOME	"COTE Thèse AN 
AB XXVIII "	ppn thèse (NC=non catalogué)	Lieu	Début-Fin de période	Dimensions en cm	Cote Thèse BENC	Renseigner : contribue au constat d'état
ENCPOS_1898_09	Le corps royal des galères sous Louis_XIV (1661-1715)	Le corps royal des galères sous Louis XIV (1661-1715)	Lachenaud	Henry	Henry LACHENAUD	Henry Lachenaud			1898	73-80	lachenaud	1	1661	1715				6bis-1898-1901	Lachenaud, Henry	189809		1898			NC		1661-1715			bon état
ENCPOS_1898_10	Examen critique des chartes mérovingiennes et carolingiennes de l’abbaye de Corbie (VII<sup>e</sup>-X<sup>e</sup> siècles)	Examen critique des chartes mérovingiennes et carolingiennes de l’abbaye de Corbie (viie-xe siècles)	Levillain	Léon	Léon LEVILLAIN	Léon Levillain			1898	81-87	levillain	1	600	999				6bis-1898-1901	Levillain, Léon	189810		1898			NC		600-999			bon état
ENCPOS_1898_11	Étude sur les origines de la gabelle et sur son organisation jusqu’en 1380	Étude sur les origines de la gabelle et sur son organisation jusqu’en 1380	Pérouse	Gabriel	Gabriel PÉROUSE	Gabriel Pérouse			1898	89-98	perouse	1	1100	1380				6bis-1898-1901	Pérouse, Gabriel	189811		1898			NC		1100-1380			bon état
ENCPOS_1898_12	Essai sur Charles_de_Valois (1270-1325)	Essai sur Charles de Valois (1270-1325)	Petit	Joseph	Joseph PETIT	Joseph Petit			1898	99-106	petit	1	1270	1325				6bis-1898-1901	Petit, Joseph	189812		1898			NC		1270-1325			bon état
ENCPOS_1898_13	Essai sur le commun de paix ou pezade dans le Rouergue et dans l’Albigeois	Essai sur le commun de paix ou pezade dans le Rouergue et dans l’Albigeois	Poux	Joseph	Joseph POUX	Joseph Poux			1898	107-116	poux	1	1000	1789				6bis-1898-1901	Poux, Joseph	189813		1898			NC		1000-1789			bon état
ENCPOS_1898_14	Charles_III_le_Noble, roi de Navarre : ses rapports avec la France	Charles III le Noble, roi de Navarre : ses rapports avec la France (1361-1425)	Privat	Édouard	Édouard PRIVAT	Édouard Privat			1898	117-127	privat	1	1387	1425				6bis-1898-1901	Privat, Édouard	189814		1898			NC		1387-1425			bon état
ENCPOS_1898_15	La bibliothèque de don_Inigo_Lopez_de_Mendoza, marquis de Santillane. Contribution à l’étude de l’érudition en Espagne au <abbr>xv<sup>e</sup></abbr> siècle	La bibliothèque de don Iñigo Lopez de Mendoza, marquis de Santillane. Contribution à l’étude de l’érudition en Espagne au xve siècle	Schiff	Mario	Mario SCHIFF	Mario Schiff			1898	129-131	schiff	1	1400	1499				6bis-1898-1901	Schiff, Mario	189815		1898			NC		1400-1499			bon état
ENCPOS_1898_16	L’historiographie à Saint-Benoît-sur-Loire. Les miracles de saint_Benoît	L’historiographie à Saint-Benoît-sur-Loire. Les miracles de saint Benoît	Vidier	Alexandre	Alexandre VIDIER.	Alexandre Vidier.			1898	133-139	vidier	1	500	1789				6bis-1898-1901	Vidier, Alexandre	189816		1898			NC		500-1789			bon état
ENCPOS_1898_NEXT		pages postliminaires							1898	-141								6bis-1898-1901												
ENCPOS_1898_PREV		pages liminaires							1898	0-4								6bis-1898-1901												
ENCPOS_1899_01	Essai sur le règne d’Alexis_Ier_Comnène (1081-1118)	Essai sur le règne d’Alexis Ier Comnène (1081-1118)	Chalandon	Ferdinand	FERDINAND CHALANDON	Ferdinand Chalandon			1899	1-15	chalandon	1	1081	1118				6bis-1898-1901	Chalandon, Ferdinand	189901		1899			NC		1081-1118			bon état
ENCPOS_1899_02	Le prieuré de Saint-Martin-des-Champs (XIV<sup>e</sup> et <abbr>xv<sup>e</sup></abbr> siècles)	Le prieuré de Saint-Martin-des-Champs, vie religieuse et administration (xive et xve siècles)	Faulquier	Bernard	BERNARD FAULQUIER	Bernard Faulquier			1899	17-26	faulquier	1	1300	1499				6bis-1898-1901	Faulquier, Bernard	189902		1899			NC		1300-1499			bon état
ENCPOS_1899_03	Le procès de La_Chalotais (1765-1775)	Le procès de La Chalotais et des cinq magistrats du Parlement de Bretagne (1765-1766 – 1775)	Gazier	Georges	GEORGES GAZIER	Georges Gazier			1899	27-35	gazier	1	1765	1775				6bis-1898-1901	Gazier, Georges	189903		1899			NC		1765-1775			bon état
ENCPOS_1899_04	La léproserie de Reims du <abbr>xii<sup>e</sup></abbr> au <abbr>xvii<sup>e</sup></abbr> siècle	La léproserie de Reims du xiie au xviie siècle	Hildenfinger	Paul	PAUL HILDENFINGER	Paul Hildenfinger			1899	37-43	hildenfinger	1	1100	1699				6bis-1898-1901	Hildenfinger, Paul	189904		1899			NC		1100-1699			bon état
ENCPOS_1899_05	Les premières cathédrales de Chartres ( ?-1194)	Les premières cathédrales de Chartres ( ?-1194)	Lanore	Maurice	MAURICE LANORE	Maurice Lanore			1899	45-49	lanore	1	0	1194				6bis-1898-1901	Lanore, Maurice	189905		1899			NC		0-1194			bon état
ENCPOS_1899_06	L’abbaye de Saint-Martial de Limoges	L’abbaye de Saint-Martial de Limoges	Lasteyrie, De	Charles	CHARLES DE LASTEYRIE	Charles de Lasteyrie			1899	51-63	lasteyrie	1	500	1899				6bis-1898-1901	Lasteyrie, De, Charles	189906		1899			NC		500-1899			bon état
ENCPOS_1899_07	Étude sur les chorévêques en Orient et en Occident	Étude sur les chorévêques en Orient et en Occident	Lesort	André	ANDRÉ LESORT	André Lesort			1899	65-68	lesort	1	786	893				6bis-1898-1901	Lesort, André	189908		1899			NC		786-893			bon état
ENCPOS_1899_08	Les états du Vivarais de leurs origines à la fin du <abbr>xvi<sup>e</sup></abbr> siècle	Les états du Vivarais de leurs origines à la fin du xvie siècle	Le Sourd	Auguste	AUGUSTE LE SOURD	Auguste Le Sourd			1899	69-81	lesourd	1	0	1600				6bis-1898-1901	Le Sourd, Auguste	189907		1899			NC		0-1600			bon état
ENCPOS_1899_09	Les guerres anglaises dans l’ouest et le centre de la France	Les guerres anglaises dans l’ouest et le centre de la France : Poitou, Saintonge, Angoumois, Limousin, Périgord (1403-1417)	Machet De La Martiniére	Jules	JULES MACHET DE LA MARTINIÈRE	Jules Machet de La Martinière			1899	83-96	machetdelamartiniere	1	1337	1453				6bis-1898-1901	Machet De La Martinière, Jules	189909		1899			NC		1337-1453			bon état
ENCPOS_1899_10	Orléans au temps des guerres_de_Religion	Orléans au temps des guerres de Religion : essai sur l'histoire d'Orléans de 1559 à 1564	Mercier De Lacombe	Bernard	BERNARD MERCIER DE LACOMBE	Bernard Mercier de Lacombe			1899	97-104	mercierdelacombe	1	1562	1598				6bis-1898-1901	Mercier De Lacombe, Bernard	189910		1899			NC		1562-1598			bon état
ENCPOS_1899_11	Étude historique sur la Réforme en Normandie au temps de François_I<sup>er</sup>	Étude historique sur la Réforme en Normandie, principalement dans le diocèse de Rouen, au temps de François Ier	Oursel	Charles	CHARLES OURSEL	Charles Oursel			1899	105-108	oursel	1	1470	1530				6bis-1898-1901	Oursel, Charles	189911		1899			NC		1470-1530			bon état
ENCPOS_1899_12	Boson et le royaume de Provence (855-933 ?)	Boson et le royaume de Provence (855-933 ?)	Poupardin	René	RENÉ POUPARDIN	René Poupardin			1899	109-120	poupardin	1	855	933				6bis-1898-1901	Poupardin, René	189912		1899			NC		855-933			bon état
ENCPOS_1899_13	Le Collège_des_Cholets et la vie de son fondateur	Le Collège des Cholets et la vie de son fondateur	Rastoul	Amand	AMAND RASTOUL	Amand Rastoul			1899	121-128	rastoul	1	1292	1399				6bis-1898-1901	Rastoul, Amand	189913		1899			NC		1292-1399			bon état
ENCPOS_1899_14	Essai sur le prévôt de l’hôtel du roi et sa juridiction	Essai sur le prévôt de l’hôtel du roi et sa juridiction	Rouget	Fernand	FERNAND ROUGET	Fernand Rouget			1899	129-135	rouget	1	1500	1789				6bis-1898-1901	Rouget, Fernand	189914		1899			NC		1500-1789			bon état
ENCPOS_1899_15	Les célestins de France. Essai sur leur histoire et leurs contitutions (1300-1789)	Les célestins de France. Essai sur leur histoire et leurs contitutions (1300-1789)	Sustrac	Charles	CHARLES SUSTRAC	Charles Sustrac			1899	137-147	sustrac	1	1300	1789				6bis-1898-1901	Sustrac, Charles	189915		1899			NC		1300-1789			bon état
ENCPOS_1899_16	Étude sur Isabeau_de_Bavière, ses origines, sa jeunesse (1369-1404)	Étude sur Isabeau de Bavière de 1369 à 1404 : ses origines, sa jeunesse, formation de son caractère politique	Thibault	Marcel	MARCEL THIBAULT	Marcel Thibault			1899	149-155	thibault	1	1369	1404				6bis-1898-1901	Thibault, Marcel	189916		1899			NC		1369-1404			bon état
ENCPOS_1899_NEXT		pages postliminaires							1899	-157								6bis-1898-1901												
ENCPOS_1899_PREV		pages liminaires							1899	0								6bis-1898-1901												
ENCPOS_1900_01	Essai sur la perte de l’Inde; Le général Lally (1755-1761)	Essai sur la perte de l’Inde : le général Lally (1755-1761)	Besnier	Georges	GEORGES BESNIER	Georges Besnier			1900	1-8	besnier	1	1755	1761				6bis-1898-1901	Besnier, Georges	190001		1900			NC		1755-1761			bon état
ENCPOS_1900_02	L’état des protestants dans le colloque de Nîmes au moment de l’édit de Nantes (1596-1600)	L’état des protestants dans le colloque de Nîmes au moment de l’édit de Nantes (1596-1600)	Boulenger	Jacques	J. BOULENGER	J. Boulenger			1900	9-16	boulenger	1	1596	1600				6bis-1898-1901	Boulenger, Jacques	190002		1900			NC		1596-1600			bon état
ENCPOS_1900_03	Études sur les relations de Louis_XI avec Jean_II d’Aragon et le principat de Catalogne (1461-1473)	Études sur les relations de Louis XI avec Jean II d’Aragon et le principat de Catalogne (1461-1473)	Calmette	Joseph	JOSEPH CALMETTE	Joseph Calmette			1900	17-24	calmette	1	1461	1493				6bis-1898-1901	Calmette, Joseph	190003		1900			NC		1461-1493			bon état
ENCPOS_1900_04	Thierry_Gherbode, premier garde des chartes de Flandre et secrétaire des ducs de Bourgogne Philippe_le_Hardi et Jean_sans_Peur (13??-1421) : étude biographique	Thierry Gherbode, premier garde des chartes de Flandre et secrétaire des ducs de Bourgogne Philippe le Hardi et Jean sans Peur (13??-1421) : étude biographique	Coussemaker, De	Félix	FÉLIX DE COUSSEMAKER	Félix de Coussemaker			1900	25-32	coussemaker	1	1300	1421				6bis-1898-1901	Coussemaker, De, Félix	190004		1900			NC		1300-1421			bon état
ENCPOS_1900_05	Le droit_de_gave de Cambrésis, étude de la protection des princes comtes de Flandre sur l’évêché et les églises de Cambrai (1144-1687)	Le droit de gave de Cambrésis, étude de la protection des princes comtes de Flandre sur l’évêque et les églises de Cambrai (1144 ?-1687)	Denis	Paul	PAUL DENIS	Paul Denis			1900	33-41	denis	1	1144	1687				6bis-1898-1901	Denis, Paul	190005		1900			NC		1144-1687			bon état
ENCPOS_1900_06	Le premier divorce de Henri_VIII et les relations entre la France et l’Angleterre de 1527 à 1534	Le premier divorce de Henri VIII et les relations entre la France et l’Angleterre  de 1527 à 1534	Dreux	André	ANDRÉ DREUX	André Dreux			1900	43-62	dreux	1	1527	1534				6bis-1898-1901	Dreux, André	190006		1900			NC		1527-1534			bon état
ENCPOS_1900_07	Les dernières églises gothiques au diocèse de Paris	Les dernières églises gothiques au diocèse de Paris	Escoffier	Henri	HENRI ESCOFFIER	Henri Escoffier			1900	63-75	escoffier	1	1500	1789				6bis-1898-1901	Escoffier, Henri	190007		1900			NC		1500-1789			bon état
ENCPOS_1900_08	Un ambassadeur de France en Turquie au <abbr>xvii<sup>e</sup></abbr> siècle, Philippe_de_Harlay, comte de Césy (1580 ou 1581 à 1652)	Un ambassadeur de France en Turquie au xviie siècle, Philippe de Harlay, comte de Césy (1580 ou 1581 à 1652)	Flament	Pierre	PIERRE FLAMENT	Pierre Flament			1900	77-85	flament	1	1580	1652				6bis-1898-1901	Flament, Pierre	190008		1900			NC		1580-1652			bon état
ENCPOS_1900_09	Le baron_de_La_Garde, dit le capitaine_Polin (15..-1578)	Le baron de La Garde, dit le capitaine_Polin (15..-1578)	Gaudin	Jean	J. GAUDIN	J. Gaudin			1900	87-95	gaudin	1	1500	1578				6bis-1898-1901	Gaudin, Jean	190009		1900			NC		1500-1578			bon état
ENCPOS_1900_10	Les juifs et les lombards dans les deux Bourgognes : étude sur le commerce de l’argent aux <abbr>xiii<sup>e</sup></abbr> et <abbr>xiv<sup>e</sup></abbr> siècles	Les juifs et les lombards dans les deux Bourgognes : étude sur le commerce de l’argent aux xiiie et xive siècles	Gauthier	Léon	LÉON GAUTHIER	Léon Gauthier			1900	97-103	gauthier	1	1200	1399				6bis-1898-1901	Gauthier, Léon	190010		1900			NC		1200-1399			bon état
ENCPOS_1900_11	Étude sur les forêts du bailliage de Senlis	Étude sur les forêts du bailliage de Senlis	Guillemot	Étienne	ÉTIENNE GUILLEMOT	Étienne Guillemot			1900	105-110	guillemot	1	500	1499				6bis-1898-1901	Guillemot, Étienne	190011		1900			NC		500-1499			bon état
ENCPOS_1900_12	La paroisse Saint-Gervais depuis ses origines jusqu’au <abbr>xvii<sup>e</sup></abbr> siècle	La paroisse Saint-Gervais depuis ses origines jusqu’au xviie siècle	Le Chartier De Sédouy	Jean	JEAN LE CHARTIER DE SÉDOUY	Jean Le Chartier de Sédouy			1900	111-117	lechartierdesedouy	1	500	1699				6bis-1898-1901	Le Chartier De Sédouy, Jean	190012		1900			NC		500-1699			bon état
ENCPOS_1900_13	Essai sur l’histoire du duché de Nemours de 1404 à 1666	Essai sur l’histoire du duché de Nemours de 1404 à 1666	Maricourt, De	André	ANDRÉ DE MARICOURT	André de Maricourt			1900	119-125	maricourt	1	1404	1666				6bis-1898-1901	Maricourt, De, André	190013		1900			NC		1404-1666			bon état
ENCPOS_1900_14	Les abbés de Luxeuil depuis la fondation du monastère jusqu’au <abbr>xi<sup>e</sup></abbr> siècle	Les abbés de Luxeuil depuis la fondation du monastère jusqu’au xie siècle	Poinsotte	Paul	PAUL POINSOTTE	Paul Poinsotte			1900	127-131	poinsotte	1	500	1099				6bis-1898-1901	Poinsotte, Paul	190014		1900			NC		500-1099			bon état
ENCPOS_1900_15	Les assemblées du clergé de France : origines, organisation, développement (1561-1615)	Les assemblées du clergé de France : origines, organisation, développement (1561-1615)	Serbat	Louis	LOUIS SERBAT	Louis Serbat			1900	133-151	serbat	1	1561	1615				6bis-1898-1901	Serbat, Louis	190015		1900			NC		1561-1615			bon état
ENCPOS_1900_16	Le Vexin normand de 911 à 1204 (étude de géographie féodale)	Le Vexin normand de 911 à 1204 (étude de géographie féodale)	Villemsens	Edmond	EDMOND VILLEMSENS	Edmond Villemsens			1900	153-159	villemsens	1	911	1204				6bis-1898-1901	Villemsens, Edmond	190016		1900			NC		911-1204			bon état
ENCPOS_1900_17	L’Hôtel-Dieu-le-Comte de Troyes du <abbr>xii<sup>e</sup></abbr> au <abbr>xvii<sup>e</sup></abbr> siècle (1157-1630)	L’Hôtel-Dieu-le-Comte de Troyes du xiie au xviie siècle (1157-1630)	Vilnet	Paul	PAUL VILNET	Paul Vilnet			1900	161-174	vilnet	1	1157	1630				6bis-1898-1901	Vilnet, Paul	190017		1900			NC		1157-1630			bon état
ENCPOS_1900_NEXT		pages postliminaires							1900	-175								6bis-1898-1901												
ENCPOS_1900_PREV		pages liminaires							1900	0								6bis-1898-1901												
ENCPOS_1901_01	Recherches sur le droit_de_gîte royal à Reims à l’occasion du sacre, de la répartition des frais du sacre (987-1500)	Recherches sur le droit de gîte royal à Reims à l’occasion du sacre, de la répartition des frais du sacre (987-1500)	Berland	Just	Just BERLAND	Just Berland			1901	1-10	berland	1	987	1499				6bis-1898-1901	Berland, Just	190101		1901			NC		987-1499			bon état
ENCPOS_1901_01	Recherches sur le droit_de_gîte royal à Reims à l’occasion du sacre, de la répartition des frais du sacre (987-1500)	Recherches sur le droit de gîte royal à Reims à l’occasion du sacre, de la répartition des frais du sacre (987-1500)	Berland	Just	Just BERLAND	Just Berland			1901	1-10	berland	1	987	1499				7-1901-1905	Berland, Just	190101		1901			NC		987-1499			bon état
ENCPOS_1901_02	Nicolas_de_La_Reynie, premier lieutenant de police	Nicolas de La Reynie, premier lieutenant de police	Bonnat	René	René BONNAT	René Bonnat			1901	11-23	bonnat	1	1625	1709				6bis-1898-1901	Bonnat, René	190102		1901			NC		1625-1709			bon état
ENCPOS_1901_02	Nicolas_de_La_Reynie, premier lieutenant de police	Nicolas de La Reynie, premier lieutenant de police	Bonnat	René	René BONNAT	René Bonnat			1901	11-23	bonnat	1	1625	1709				7-1901-1905	Bonnat, René	190102		1901			NC		1625-1709			bon état
ENCPOS_1901_03	Histoire des institutions communales de la ville de Laon jusqu’aux débuts du <abbr>xvi<sup>e</sup></abbr> siècle	Histoire des institutions communales de la ville de Laon jusqu’aux débuts du xiv siècle	Broche	Lucien	Lucien BROCHE	Lucien Broche			1901	25-32	broche	1	500	1599				6bis-1898-1901	Broche, Lucien	190103		1901			NC		500-1599			bon état
ENCPOS_1901_03	Histoire des institutions communales de la ville de Laon jusqu’aux débuts du <abbr>xvi<sup>e</sup></abbr> siècle	Histoire des institutions communales de la ville de Laon jusqu’aux débuts du xiv siècle	Broche	Lucien	Lucien BROCHE	Lucien Broche			1901	25-32	broche	1	500	1599				7-1901-1905	Broche, Lucien	190103		1901			NC		500-1599			bon état
ENCPOS_1901_04	Essai sur Marguerite d’Angoulême et Charles_d_Alençon	Essai sur Marguerite d’Angoulême et Charles d'Alençon	Duval	Frédéric	Frédéric DUVAL	Frédéric Duval			1901	33-46	duval	1	1492	1549				6bis-1898-1901	Duval, Frédéric	190104		1901			NC		1492-1549			bon état
ENCPOS_1901_04	Essai sur Marguerite d’Angoulême et Charles_d_Alençon	Essai sur Marguerite d’Angoulême et Charles d'Alençon	Duval	Frédéric	Frédéric DUVAL	Frédéric Duval			1901	33-46	duval	1	1492	1549				7-1901-1905	Duval, Frédéric	190104		1901			NC		1492-1549			bon état
ENCPOS_1901_05	Essai sur la marine et le commerce de nantes au <abbr>xvii<sup>e</sup></abbr> siècle et au commencement du <abbr>xviii<sup>e</sup></abbr> (1661-1715)	Essai sur la marine et le commerce de nantes au xviie siècle et au commencement du xviiie  (1661-1715)	Gabory	Émile	Émile GABORY	Émile Gabory			1901	47-55	gabory	1	1661	1715				6bis-1898-1901	Gabory, Émile	190105		1901			NC		1661-1715			bon état
ENCPOS_1901_05	Essai sur la marine et le commerce de nantes au <abbr>xvii<sup>e</sup></abbr> siècle et au commencement du <abbr>xviii<sup>e</sup></abbr> (1661-1715)	Essai sur la marine et le commerce de nantes au xviie siècle et au commencement du xviiie  (1661-1715)	Gabory	Émile	Émile GABORY	Émile Gabory			1901	47-55	gabory	1	1661	1715				7-1901-1905	Gabory, Émile	190105		1901			NC		1661-1715			bon état
ENCPOS_1901_06	Le quartier Saint-Martin-des-Champs à Paris, étude topographique sur une partie de la censive du prieuré, des origines à la fin du <abbr>xv<sup>e</sup></abbr> siècle	Le quartier Saint-Martin-des-Champs à Paris, étude topographique sur une partie de la censive du prieuré, des origines à la fin du xve siècle	Galabert	François	François GALABERT	François Galabert			1901	57-62	galabert	1	501	1499				6bis-1898-1901	Galabert, François	190106		1901			NC		501-1499			bon état
ENCPOS_1901_06	Le quartier Saint-Martin-des-Champs à Paris, étude topographique sur une partie de la censive du prieuré, des origines à la fin du <abbr>xv<sup>e</sup></abbr> siècle	Le quartier Saint-Martin-des-Champs à Paris, étude topographique sur une partie de la censive du prieuré, des origines à la fin du xve siècle	Galabert	François	François GALABERT	François Galabert			1901	57-62	galabert	1	501	1499				7-1901-1905	Galabert, François	190106		1901			NC		501-1499			bon état
ENCPOS_1901_07	Essai sur la vie privée et la cour de Louis_XI (1461-1483)	Essai sur la vie privée et la cour de Louis XI (1461-1483)	Gandilhon	Alfred	Alfred GANDILHON	Alfred Gandilhon			1901	63-70	gandilhon	1	1461	1483				6bis-1898-1901	Gandilhon, Alfred	190107		1901			NC		1461-1483			bon état
ENCPOS_1901_07	Essai sur la vie privée et la cour de Louis_XI (1461-1483)	Essai sur la vie privée et la cour de Louis XI (1461-1483)	Gandilhon	Alfred	Alfred GANDILHON	Alfred Gandilhon			1901	63-70	gandilhon	1	1461	1483				7-1901-1905	Gandilhon, Alfred	190107		1901			NC		1461-1483			bon état
ENCPOS_1901_08	Histoire de l’abbaye de Sainte-Geneviève de Paris jusqu’à l’année 1619	Histoire de l’abbaye de Sainte-Geneviève de Paris jusqu’à l’année 1619	Giard	René	René GIARD	René Giard			1901	71-80	giard	1	0	1619				6bis-1898-1901	Giard, René	190108		1901			NC		0-1619			bon état
ENCPOS_1901_08	Histoire de l’abbaye de Sainte-Geneviève de Paris jusqu’à l’année 1619	Histoire de l’abbaye de Sainte-Geneviève de Paris jusqu’à l’année 1619	Giard	René	René GIARD	René Giard			1901	71-80	giard	1	0	1619				7-1901-1905	Giard, René	190108		1901			NC		0-1619			bon état
ENCPOS_1901_09	Cartulaires de l’abbaye de Molesme, précédés d’une étude sur les origines de cette abbaye et sur la géographie de l’évêché de Langres (XI<sup>e</sup>-XIII<sup>e</sup> siècles)	Cartulaires de l’abbaye de Molesme, précédés d’une étude sur les origines de cette abbaye et sur la géographie de l’évêché de Langres (xie-xiiie siècles)	Laurent	Jacques	Jacques LAURENT	Jacques Laurent			1901	81-88	laurent	1	1000	1299				6bis-1898-1901	Laurent, Jacques	190109		1901			NC		1000-1299			bon état
ENCPOS_1901_09	Cartulaires de l’abbaye de Molesme, précédés d’une étude sur les origines de cette abbaye et sur la géographie de l’évêché de Langres (XI<sup>e</sup>-XIII<sup>e</sup> siècles)	Cartulaires de l’abbaye de Molesme, précédés d’une étude sur les origines de cette abbaye et sur la géographie de l’évêché de Langres (xie-xiiie siècles)	Laurent	Jacques	Jacques LAURENT	Jacques Laurent			1901	81-88	laurent	1	1000	1299				7-1901-1905	Laurent, Jacques	190109		1901			NC		1000-1299			bon état
ENCPOS_1901_10	François_de_Vendôme, vidame de Chartres (15..-1560)	François de Vendôme, vidame de Chartres (15..-1560)	Lemoisne	Paul-André	P.-André LEMOISNE	P.-André Lemoisne			1901	89-92	lemoisne	1	1500	1560				6bis-1898-1901	Lemoisne, Paul-André	190110		1901			NC		1500-1560			bon état
ENCPOS_1901_10	François_de_Vendôme, vidame de Chartres (15..-1560)	François de Vendôme, vidame de Chartres (15..-1560)	Lemoisne	Paul-André	P.-André LEMOISNE	P.-André Lemoisne			1901	89-92	lemoisne	1	1500	1560				7-1901-1905	Lemoisne, Paul-André	190110		1901			NC		1500-1560			bon état
ENCPOS_1901_11	Histoire de l’abbaye de Marmoutier jusqu’au <abbr>xi<sup>e</sup></abbr> siècle	Histoire de l’abbaye de Marmoutier jusqu’au xie siècle	Lévêque	Pierre	Pierre LÉVEQUE	Pierre Léveque			1901	93-101	leveque	1	350	1099				6bis-1898-1901	Lévêque, Pierre	190111		1901			NC		350-1099			bon état
ENCPOS_1901_11	Histoire de l’abbaye de Marmoutier jusqu’au <abbr>xi<sup>e</sup></abbr> siècle	Histoire de l’abbaye de Marmoutier jusqu’au xie siècle	Lévêque	Pierre	Pierre LÉVEQUE	Pierre Léveque			1901	93-101	leveque	1	350	1099				7-1901-1905	Lévêque, Pierre	190111		1901			NC		350-1099			bon état
ENCPOS_1901_12	Le marquis_de_Puyzieulx, ambassadeur de Louis_XIV en Suisse (1698-1708)	Le marquis de Puyzieulx, ambassadeur de Louis XIV en Suisse (1698-1708)	Michel De Boislisle	Jean	Jean MICHEL DE BOISLISLE	Jean Michel de Boislisle			1901	103-117	micheldeboislisle	1	1698	1708				6bis-1898-1901	Michel De Boislisle, Jean	190112		1901			NC		1698-1708			bon état
ENCPOS_1901_12	Le marquis_de_Puyzieulx, ambassadeur de Louis_XIV en Suisse (1698-1708)	Le marquis de Puyzieulx, ambassadeur de Louis XIV en Suisse (1698-1708)	Michel De Boislisle	Jean	Jean MICHEL DE BOISLISLE	Jean Michel de Boislisle			1901	103-117	micheldeboislisle	1	1698	1708				7-1901-1905	Michel De Boislisle, Jean	190112		1901			NC		1698-1708			bon état
ENCPOS_1901_13	Les débuts du protestantisme en Saintonge et en Aunis, ville et gouvernement de La_Rochelle, jusqu’à la fin de la première guerre_de_religion (mars 1563)	Les débuts du protestantisme en Saintonge et en Aunis, ville et gouvernement de La Rochelle, jusqu’à la fin de la première guerre de religion (mars 1563)	Patry	Henry	Henry PATRY	Henry Patry			1901	119-128	patry	1	1500	1563				6bis-1898-1901	Patry, Henry	190113		1901			NC		1500-1563			bon état
ENCPOS_1901_13	Les débuts du protestantisme en Saintonge et en Aunis, ville et gouvernement de La_Rochelle, jusqu’à la fin de la première guerre_de_religion (mars 1563)	Les débuts du protestantisme en Saintonge et en Aunis, ville et gouvernement de La Rochelle, jusqu’à la fin de la première guerre de religion (mars 1563)	Patry	Henry	Henry PATRY	Henry Patry			1901	119-128	patry	1	1500	1563				7-1901-1905	Patry, Henry	190113		1901			NC		1500-1563			bon état
ENCPOS_1901_14	L’architecture religieuse aux <abbr>xi<sup>e</sup></abbr> et <abbr>xii<sup>e</sup></abbr> siècles dans l’ancien diocèse d’Auxerre	L’architecture religieuse aux xie et xiie siècles dans l’ancien diocèse d’Auxerre	Philippe	André	André PHILIPPE	André Philippe			1901	129-131	philippe	1	1000	1199				6bis-1898-1901	Philippe, André	190114		1901			NC		1000-1199			bon état
ENCPOS_1901_14	L’architecture religieuse aux <abbr>xi<sup>e</sup></abbr> et <abbr>xii<sup>e</sup></abbr> siècles dans l’ancien diocèse d’Auxerre	L’architecture religieuse aux xie et xiie siècles dans l’ancien diocèse d’Auxerre	Philippe	André	André PHILIPPE	André Philippe			1901	129-131	philippe	1	1000	1199				7-1901-1905	Philippe, André	190114		1901			NC		1000-1199			bon état
ENCPOS_1901_15	Histoire des œuvres de charité dans la ville de Döle	Histoire des œuvres de charité dans la ville de Döle	Pidoux	André-Pierre	André Pierre PIDOUX	André Pierre Pidoux			1901	133-144	pidoux	1	1500	1789				6bis-1898-1901	Pidoux, André-Pierre	190115		1901			NC		1500-1789			bon état
ENCPOS_1901_15	Histoire des œuvres de charité dans la ville de Döle	Histoire des œuvres de charité dans la ville de Döle	Pidoux	André-Pierre	André Pierre PIDOUX	André Pierre Pidoux			1901	133-144	pidoux	1	1500	1789				7-1901-1905	Pidoux, André-Pierre	190115		1901			NC		1500-1789			bon état
ENCPOS_1901_16	La chute de la maison d’Armagnac, contribution à l’étude des relations de la royauté avec la féodalité méridionale au <abbr>xv<sup>e</sup></abbr> siècle	La chute de la maison d’Armagnac, contribution à l’étude des relations de la royauté avec la féodalité méridionale au xve siècle	Samaran	Charles	Charles SAMARAN	Charles Samaran			1901	145-158	samaran	1	1400	1499				6bis-1898-1901	Samaran, Charles	190116		1901			NC		1400-1499			bon état
ENCPOS_1901_16	La chute de la maison d’Armagnac, contribution à l’étude des relations de la royauté avec la féodalité méridionale au <abbr>xv<sup>e</sup></abbr> siècle	La chute de la maison d’Armagnac, contribution à l’étude des relations de la royauté avec la féodalité méridionale au xve siècle	Samaran	Charles	Charles SAMARAN	Charles Samaran			1901	145-158	samaran	1	1400	1499				7-1901-1905	Samaran, Charles	190116		1901			NC		1400-1499			bon état
ENCPOS_1901_NEXT		pages postliminaires							1901	-159								6bis-1898-1901												
ENCPOS_1901_NEXT		pages postliminaires							1901	-159								7-1901-1905												
ENCPOS_1901_PREV		pages liminaires							1901	0								6bis-1898-1901												
ENCPOS_1901_PREV		pages liminaires							1901	0								7-1901-1905												
